rna_type,gene_name,rnacentral_id,hgnc_id
"lncRNA","LINC02371","URS00025F651D_9606","HGNC:53293"
"lncRNA","LINC00937","URS000075A8FE_9606","HGNC:48629"
"lncRNA","LINC00612","URS000075B6CD_9606","HGNC:28621"
"lncRNA","GABARAPL1-AS1","URS0002123226_9606","HGNC:54822"
"lncRNA","LINC02446","URS0000BC462C_9606","HGNC:53378"
"lncRNA","LINC01252","URS000075C0A6_9606","HGNC:27888"
"lncRNA","LINC02468","URS0000BC4426_9606","HGNC:53406"
"lncRNA","LINC02909","URS00021231BA_9606","HGNC:27282"
"lncRNA","RASSF8-AS1","URS000075DAC8_9606","HGNC:48637"
"lncRNA","BMAL2-AS1","URS000075C2DD_9606","HGNC:49892"
"lncRNA","coding RNA activated by DNA damag","URS000075CEFB_9606","HGNC:44311"
"lncRNA","lnc-CAPRIN2-2","URS000077152B_9606","HGNC:56687"
"lncRNA","LINC02471","URS0000BC44A2_9606","HGNC:53410"
"lncRNA","NONHSAG011092.2","URS000057AC12_9606","HGNC:55453"
"lncRNA","NR4A1AS","URS0002123198_9606","HGNC:54409"
"lncRNA","LINC00592","URS0000ABD7CE_9606","HGNC:27474"
"lncRNA","KRT7-AS","URS0000BC43E1_9606","HGNC:52643"
"lncRNA","NONHSAG011211.2","URS0000611D31_9606","HGNC:27464"
"lncRNA","ENSG00000291839.1","URS00025E6F93_9606","HGNC:54810"
"lncRNA","HOTAIR","URS000075C808_9606","HGNC:33510"
"lncRNA","LINC02381","URS000075A06D_9606","HGNC:53304"
"lncRNA","CD63-AS1","URS00022B6B9A_9606","HGNC:55455"
"lncRNA","AGAP2-AS1","URS000075E9B8_9606","HGNC:48633"
"lncRNA","GIHCG","URS000075D52A_9606","HGNC:52649"
"lncRNA","LRIG3-DT","URS00022B142E_9606","HGNC:55476"
"lncRNA","LINC02389","URS000075EF57_9606","HGNC:53316"
"lncRNA","LINC02454","URS0000BC4577_9606","HGNC:53387"
"lncRNA","LINC01479","URS000075DA35_9606","HGNC:51123"
"lncRNA","TRHDE-AS1","URS000075E8D2_9606","HGNC:27471"
"lncRNA","LINC02882","URS000075BF55_9606","HGNC:54802"
