H2AFZ_AvgSignal,H2AFZ_MaxSignal,H2AFZ_MaxScaledSignal,H2AK5ac_AvgSignal,H2AK5ac_MaxSignal,H2AK5ac_MaxScaledSignal,H2AK9ac_AvgSignal,H2AK9ac_MaxSignal,H2AK9ac_MaxScaledSignal,H2BK120ac_AvgSignal,H2BK120ac_MaxSignal,H2BK120ac_MaxScaledSignal,H2BK12ac_AvgSignal,H2BK12ac_MaxSignal,H2BK12ac_MaxScaledSignal,H2BK15ac_AvgSignal,H2BK15ac_MaxSignal,H2BK15ac_MaxScaledSignal,H2BK20ac_AvgSignal,H2BK20ac_MaxSignal,H2BK20ac_MaxScaledSignal,H2BK5ac_AvgSignal,H2BK5ac_MaxSignal,H2BK5ac_MaxScaledSignal,H3F3A_AvgSignal,H3F3A_MaxSignal,H3F3A_MaxScaledSignal,H3K14ac_AvgSignal,H3K14ac_MaxSignal,H3K14ac_MaxScaledSignal,H3K18ac_AvgSignal,H3K18ac_MaxSignal,H3K18ac_MaxScaledSignal,H3K23ac_AvgSignal,H3K23ac_MaxSignal,H3K23ac_MaxScaledSignal,H3K23me2_AvgSignal,H3K23me2_MaxSignal,H3K23me2_MaxScaledSignal,H3K27ac_AvgSignal,H3K27ac_MaxSignal,H3K27ac_MaxScaledSignal,H3K27me3_AvgSignal,H3K27me3_MaxSignal,H3K27me3_MaxScaledSignal,H3K36me3_AvgSignal,H3K36me3_MaxSignal,H3K36me3_MaxScaledSignal,H3K4ac_AvgSignal,H3K4ac_MaxSignal,H3K4ac_MaxScaledSignal,H3K4me1_AvgSignal,H3K4me1_MaxSignal,H3K4me1_MaxScaledSignal,H3K4me2_AvgSignal,H3K4me2_MaxSignal,H3K4me2_MaxScaledSignal,H3K4me3_AvgSignal,H3K4me3_MaxSignal,H3K4me3_MaxScaledSignal,H3K56ac_AvgSignal,H3K56ac_MaxSignal,H3K56ac_MaxScaledSignal,H3K79me1_AvgSignal,H3K79me1_MaxSignal,H3K79me1_MaxScaledSignal,H3K79me2_AvgSignal,H3K79me2_MaxSignal,H3K79me2_MaxScaledSignal,H3K9ac_AvgSignal,H3K9ac_MaxSignal,H3K9ac_MaxScaledSignal,H3K9me1_AvgSignal,H3K9me1_MaxSignal,H3K9me1_MaxScaledSignal,H3K9me2_AvgSignal,H3K9me2_MaxSignal,H3K9me2_MaxScaledSignal,H3K9me3_AvgSignal,H3K9me3_MaxSignal,H3K9me3_MaxScaledSignal,H3T11ph_AvgSignal,H3T11ph_MaxSignal,H3T11ph_MaxScaledSignal,H4K12ac_AvgSignal,H4K12ac_MaxSignal,H4K12ac_MaxScaledSignal,H4K20me1_AvgSignal,H4K20me1_MaxSignal,H4K20me1_MaxScaledSignal,H4K5ac_AvgSignal,H4K5ac_MaxSignal,H4K5ac_MaxScaledSignal,H4K8ac_AvgSignal,H4K8ac_MaxSignal,H4K8ac_MaxScaledSignal,H4K91ac_AvgSignal,H4K91ac_MaxSignal,H4K91ac_MaxScaledSignal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6905,10.51621,10.5162,4.35405,6.45600,4.35405,0,0,0,5.00213,5.00213,5.00213,0,0,0,4687.94,68.22539,68.2254,75.4006,18.60123,18.6012,4619.04,104.90147,104.901,4.83271,4.83271,4.83271,3452.68,44.71857,44.7186,1455.38,73.81375,42.7759,29687.9,301.08734,301.087,6.3113,5.70691,5.70691,12.6251,4.73234,4.73234,639.207,50.17248,50.1725,2013.12,66.17736,66.1774,0,0,0,0,0,0,6.40857,6.40857,6.40857,0,0,0,0,0,0,579.578,18.98758,18.9876,0,0,0,2.89695,3.66379,2.89695,0,0,0
0,0,0,4.24684,4.24684,4.24684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.615,10.51621,10.5162,5.8116,5.81160,5.8116,0,0,0,8.73258,8.73258,8.73258,9.64957,5.32037,5.32037,6746.07,68.22539,68.2254,66.3923,18.60123,18.6012,3906.58,104.90147,104.901,5.85518,5.85518,5.85518,3424.23,44.71857,44.7186,1644.34,73.81375,73.8137,39463.3,301.08734,301.087,19.035,18.52305,18.5231,3.36919,3.36919,3.36919,688.363,50.17248,50.1725,2563.68,66.17736,66.1774,4.47193,4.47193,4.47193,0,0,0,8.51361,8.51361,8.51361,0,0,0,0,0,0,604.629,18.98758,18.9876,0,0,0,0,0,0,0,0,0
85.5847,29.60399,29.604,7.82002,7.82002,7.82002,7.17448,7.17448,7.17448,0,0,0,0,0,0,0,0,0,0,0,0,5.82419,5.82419,5.82419,63.8655,10.51621,10.5162,8.18931,5.81160,5.8116,2.52329,4.19497,2.52329,8.73258,8.73258,8.73258,7.21465,5.32037,4.85449,9616.14,68.22539,68.2254,48.0067,18.60123,14.9539,2893.62,104.90147,104.901,16.191,7.30755,7.30755,1837.83,44.71857,44.7186,1644.34,73.81375,73.8137,41749.6,301.08734,301.087,24.6194,18.52305,18.5231,5.56661,3.36919,3.36919,690.401,50.17248,50.1725,3027.42,66.17736,66.1774,3.83684,3.83684,3.83684,0,0,0,12.2141,7.19350,6.21055,0,0,0,0,0,0,605.249,18.98758,18.9876,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51313,3.77372,3.77372,0,0,0,0,0,0,0,0,0,0,0,0,238.182,32.76086,32.7609,0,0,0,2835.43,41.54618,41.5462,0,0,0,781.4,24.57636,24.5764,19.7311,6.39429,6.39429,0,0,0,0,0,0,14.324,5.19961,5.19961,215.928,15.93701,15.937,0,0,0,3.42424,3.42424,3.42424,0,0,0,0,0,0,0,0,0,0,0,0,275.701,15.27336,15.2734,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.72,19.27442,19.2744,7.00179,9.35406,6.06638,67.3654,6.48446,6.46652,0,0,0,139.1,16.76500,16.765,0,0,0,5.06257,5.06257,5.06257,0,0,0,0,0,0,3.80196,3.80196,3.80196,2.92035,2.92035,2.92035,0,0,0,0,0,0,1.99452,6.64840,1.99452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4.05658,4.05658,4.05658,3.16926,3.16926,3.16926,2.82683,3.01119,2.82683,0,0,0,2.82156,3.07236,2.82156,2.36726,4.63983,2.36726,7.88534,4.50730,4.5073,0,0,0,0,0,0,6.24024,5.66868,2.83434,280.103,13.69534,13.6953,0.491353,4.37751,0.491353,0,0,0,104.267,8.88933,8.88933,0,0,0,2.90265,2.90265,2.90265,0,0,0,0,0,0,12.4612,12.46123,12.4612,11.7718,4.51375,4.51375,0,0,0,0,0,0,1.86171,4.05439,1.86171,0,0,0,0,0,0,11.4218,7.02162,7.02162,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9148,5.99814,5.99814,0,0,0,0,0,0,0,0,0,0,0,0,265.578,30.43636,30.4364,13.345,7.81239,5.91674,3943.95,72.18401,72.184,0,0,0,433.807,16.20628,16.2063,24.2137,7.92476,7.92476,77.0725,16.42818,16.4282,0,0,0,8.39412,3.83757,3.83757,122.378,10.39646,10.3965,93.5326,36.05611,36.0561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.661,22.65837,22.6584,0,0,0,0,0,0,0,0,0
2.83958,2.83958,2.83958,0,0,0,3.60309,4.10007,3.60309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17024,3.17024,3.17024,0,0,0,0,0,0,0,0,0,0,0,0,921.387,31.96852,31.9685,16.2732,8.15093,8.15093,48.751,8.37838,8.37838,0,0,0,819.472,46.99378,46.9938,348.653,21.58663,21.5866,65.1782,21.67955,21.6795,0,0,0,2.81174,2.81174,2.81174,9.23471,3.98596,3.98596,54.3664,6.86288,6.86288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94811,2.35199,1.94811,0,0,0,0,0,0,0,0,0
69.7896,25.71757,7.82709,0,0,0,0,0,0,2.06515,8.18938,2.06515,0,0,0,0,0,0,0,0,0,10.3491,8.90221,6.73472,24.8019,9.88251,9.88251,0,0,0,0.653075,7.51036,0.653075,12.3557,9.70896,9.70896,0,0,0,9036.45,134.14381,134.144,124.796,32.82564,32.8256,199.699,39.77247,39.7725,0,0,0,1836.45,49.19744,49.1974,312.018,27.60325,27.6032,2239.15,87.35868,87.3587,3.19043,3.19043,3.19043,0,0,0,0,0,0,480.64,23.59010,23.4812,0,0,0,0,0,0,2.30952,2.91862,2.30952,0,0,0,0,0,0,0,0,0,3.77404,3.77404,3.77404,3.77505,5.28375,3.49938,2.9916,5.54894,2.9916
227.313,23.40256,23.4026,0,0,0,0,0,0,20.5533,15.63879,15.6388,6.98991,6.98991,6.98991,3.86692,3.86692,3.86692,10.092,10.09201,10.092,40.7211,24.20266,24.2027,69.2229,13.76917,13.7692,13.4007,11.23470,11.2347,13.9292,7.99861,7.99861,8.87028,8.87028,8.87028,2.23984,3.30961,2.23984,24826.1,334.51953,334.52,164.465,21.13112,21.1311,185.283,54.44947,54.4495,13.5581,13.55814,13.5581,1294.37,23.49791,23.4979,719.149,23.92938,23.9294,5517.6,87.67744,87.6774,13.4065,11.65561,11.6556,0,0,0,0,0,0,1696.68,47.91854,47.9185,0,0,0,0,0,0,21.3012,10.21565,10.2157,6.36685,6.36685,6.36685,0,0,0,0,0,0,0.505315,3.84817,0.505315,16.5622,13.17327,13.1733,12.4416,12.44156,12.4416
