"RNAID","Dataset","GC_percentage","GA","GT","CpG","TA","phyloP_max_241w","phyloP_max_100w","RPKM_tissue","RPKM_primary.cell","copy_number","repeat_distance","Interaction_ave","MFE","SNP_density","MAF_avg","fickett","GERP_91_mammals_max","GERP_63_amniotes_max","lowComplexity_density","Max_covariance","coding_potential","methylome","H3K9ac_MaxScaledSignal","H3K79me2_MaxScaledSignal","chrm_acc_MaxScaledSignal","H3K79me1_MaxScaledSignal","Random","T","C","G","MaxEnt_splicing"
"RNA1031","protein-exon3-negative-control",1.09604748414947,-0.155651713725368,-2.26436183538571,-0.687217000221437,0.154169316451793,1.31496115169889,1.40407237568748,0.757322958008808,0.765093995824198,-0.674490759476595,3.66928851070383,-2.32589881365233,-2.69188654457776,-0.0757068085458936,4.64353060855468,0.215102640486376,-0.197652969809991,-0.251636937189345,0,0.829263536420147,0,-0.316535750875134,0.225857952330575,0,2.2677222188887,0,-0.760826543585922,-0.0580996990836277,0.908647304618342,1.18148298034983,-1.0594259486395
"RNA1032","protein-exon3-negative-control",1.93916093349521,0.233477570588052,0.915380316432522,0.814479407669851,-3.00630167080997,0.479736483165736,-0.496562181645573,2.62696401059305,2.45635440764611,-0.674490759476595,9.19158976149478,-0.351172917544599,-0.844632572677899,0.837691771941219,-0.61708729058497,0.156930228279369,0.617665530656223,0.129709761437807,0,0.440946602768709,0,0.18154474024931,0.554137313017369,0,5.67092902721135,0,-0.125495085161247,-0.995708636019402,1.04421162022672,1.8615944961554,1.37737528459756
"RNA1033","protein-exon3-negative-control",1.26467017401862,0.933910282352209,0.433601202520668,-0.241798574151987,-1.58023549363088,-0.00049304880078693,0.497306652682523,0.130164883407764,0.15100539391267,-0.674490759476595,8.95059524176894,-1.20771649263213,-4.7335883029934,0.231761958409632,-0.422325521131242,1.55712666163408,0.420012560846231,0.0951204917210584,1.89202358827158,0.536337878043761,0,0.35372188228994,0.322512774669843,0,2.98806655396323,0,0.974510630807512,-1.9066809554286,2.31769458503273,2.42629314867275,0.732118451815169
"RNA1034","protein-exon3-negative-control",1.93916093349521,1.78999470784173,-0.409512246825075,1.09445670405636,-2.98703050625349,-0.548763315275914,0.114648539690282,2.49679912718529,2.34561711877682,-0.674490759476595,5.05941543546387,-0.16315115715953,-0.838556079349281,0.968808516911592,-0.0799548316704779,-0.590420994326933,-0.265596178182176,0.95985223463977,0,-0.59173752974615,0,-0.104498051227359,3.09464448661664,3.42624094898623,9.05185742399783,0,-1.05202348597613,-0.995708636019402,0.908647304618342,1.18148298034983,0.742552256573275
"RNA1035","protein-exon3-negative-control",0.927424794280318,0.674490759476595,0.289067468347112,1.03082550033215,-1.6380489873003,-0.967854795944851,-0.0804028719905874,3.54995136566629,3.59392837512156,-0.674490759476595,-0.637753790006192,-0.435732968511429,0.625878812847651,0,-0.645789025030783,-0.0125621488154664,-0.807906514098339,0.069178539433497,0,-0.790830028051614,0,0.180744070583225,0.891709618079727,0.708082455067786,0.609506867638281,0,0.89256616749516,-1.31475612150449,1.11952512889805,2.44346768190017,-1.02803429204623
"RNA1036","protein-exon3-negative-control",1.43329286388776,-0.985794186927331,-0.36133433543389,-0.17816737042778,-0.520321443024802,-0.376689283801256,-0.368513163290193,3.68011624907405,2.5670916965154,-0.674490759476595,6.46423714801208,-0.477515581930333,-0.577266866218708,1.09992526188197,-0.526881839469559,-0.223219721259446,-0.0864731742918711,0.129709761437807,0,-0.53824224107103,0,0.512069706251857,0.530694930735487,0,3.51758850694372,7.16156286417783,-0.821015839647207,-1.34731198737032,0.0952614109680519,2.40568370879986,-0.412812338828064
"RNA1037","protein-exon3-negative-control",1.93916093349521,-0.0778258568626838,0.505868069607446,0.852658129904375,-3.00630167080997,-0.142984152228225,-0.301510769964703,3.68011624907405,2.5670916965154,-0.674490759476595,6.46423714801208,-1.08037900411738,-0.893244519306842,0.706575026970845,0.826199927261604,-0.443540485099938,-0.0370599318393734,0.778258568626841,0,0.605760566583318,0,0.438964775586018,0.530694930735487,0,2.88238968757006,7.16156286417783,0.192291506091374,-0.644105284668487,1.58646888266025,1.8615944961554,1.72873919307868
"RNA1038","protein-exon3-negative-control",1.18035882908404,1.9456464215671,-0.216800601260334,1.33625527820835,0.79011774681544,-0.291391841265108,-0.340967734923047,4.55577091927174,5.03351313042235,-0.674490759476595,23.8834385920983,0.192995881030176,0.115453373243741,2.00316229463387,-0.641688777252809,-0.418416187469006,0.179123003890304,0.432365871459356,0,0.373601401167991,0,-0.680032672742294,1.55444796744477,0,41.0686163367298,0,0.285597001190394,-1.47753545083362,1.11952512889805,2.82130741290327,2.0913375078454
"RNA1039","protein-exon3-negative-control",1.09604748414947,-0.778258568626841,-1.49351525312675,0.394513463090084,-3.9505887340772,-0.0113401224181005,-0.166761512276774,3.54995136566629,5.03351313042235,-0.674490759476595,23.8834385920983,-1.00974649095685,0.115453373243741,0.546311029593558,26.6823624151607,-1.10141055537453,0.549722322284038,0.484249776034479,0,1.06609704744786,0,0.325589477099327,0.941424670265406,0,41.0686163367298,0,-0.124447614145455,-1.47753545083362,0.742957585541434,1.68778821989398,-0.558006095351941
"RNA1040","protein-exon3-negative-control",1.60191555375691,0.0778258568626841,0.337245379738298,0.661764518731754,-0.346880962016535,-0.231732936369883,-0.0744471036949883,2.49679912718529,4.80197152642292,-0.674490759476595,32.7194144891195,-2.39056238203873,-0.121529866572359,1.88662573170421,-0.180410902230822,1.18548032052419,0.315009420634674,0.795553203485215,0,0.834976625501956,0,-0.0668713146116886,4.62327983090888,6.35357656785536,9.45416896995139,0,0.214449546810054,-0.338080145529728,-0.0101775011718036,2.06562795089707,0.292564830915359
