"RNAID","Dataset","GC_percentage","GA","GT","CpG","TA","phyloP_max_241w","phyloP_max_100w","RPKM_tissue","RPKM_primary.cell","copy_number","repeat_distance","Interaction_ave","MFE","SNP_density","MAF_avg","fickett","GERP_91_mammals_max","GERP_63_amniotes_max","lowComplexity_density","Max_covariance","coding_potential","methylome","H3K9ac_MaxScaledSignal","H3K79me2_MaxScaledSignal","chrm_acc_MaxScaledSignal","H3K79me1_MaxScaledSignal","Random","T","C","G","MaxEnt_splicing"
"RNA1024","lncrna-exon1-negative-control",1.83076063286504,-0.438418993659787,0.931439620229584,-0.0822549706678779,-2.07343455690953,-1.05360633308759,0.706317213732739,5.56936655682103,6.55520706866316,-0.674490759476595,2.9159654742665,-0.802097119377573,0.523744973690995,-0.152128442810818,-0.659559780200405,1.61860723353952,-0.467410263146062,0.241528521297985,0,-0.656518554527236,0,0.471463622404203,2.03937129433307,0,0.78367899202147,0,0.621112309059941,-1.39886424916485,1.52602789535744,2.2476770949149,1.18864907216214
"RNA1025","lncrna-exon1-negative-control",1.73440481008267,-0.236071765816808,-1.28474430376494,0.32901988267151,-1.74867974679117,-0.421239526234442,0.309828614927282,0.501050278468328,0.843113449345744,5.05868069607446,0.621819029886232,-0.934675155638328,-2.12673038078109,0.767369578634646,-0.440788475153617,-0.414247451127187,-0.508826362412168,0.0894550078881427,0,-0.519899335547783,0,0.367016704174488,2.03937129433307,2.14975754001826,0.869295476047333,0,-1.22114549280079,-1.58873698383627,-0.664772975547582,3.48685105465775,0.720720529951655
"RNA1026","lncrna-exon1-negative-control",2.11982810121216,-0.337245379738298,0.0321186075941236,-3.01053192644432,-1.39894379743294,-0.31161574591319,-0.601251569561854,0.597406101250698,3.70969917712127,-0.674490759476595,39.5945096159558,0.216267921650357,-0.561293374546017,2.63948378139946,21.8862189268469,-0.0112778418403413,0.615324903382157,NA,0,0.276360727801802,0,-2.40211836188567,7.53893941061173,2.53189717692986,15.6977887497682,16.47515484134,0.99368894288005,-1.13091566402808,1.10682612539657,1.62615925608264,-0.373993924809917
"RNA1027","lncrna-exon1-negative-control",-0.867202405041337,0.944287063267234,0.642372151882472,-0.312568888537934,0.44966050631773,-0.0502442326472406,-1.41723584253866,-0.809388911371914,-0.274011871037367,2215.36489950088,-0.313104170342714,0.572571394101139,-1.29845683250857,0.413519354574506,2.31365261479748,-0.615163625089584,-0.57390880411605,0.0447275039440713,0.277471279512101,-0.669160020720429,0,-0.178249693916496,0,0,2.44161627049566,0,-0.431358930453597,0.843442331716616,-0.3254465886364,-0.240480765957783,0.52176867815735
"RNA1028","lncrna-exon1-negative-control",2.21618392399453,-0.0674490759476596,0.0321186075941236,0.115156958935028,-0.499622784797479,0.422254561237417,0.375782230976159,-0.925015898710759,-0.274011871037367,-0.674490759476595,9.26437199350499,-1.35643903349286,-3.97930221708398,0.728057972004064,0.47714216382608,0.656673664804458,0.0414160992661068,-0.892760978723663,0,0.139284588357535,0,0.289459770433783,2.2975145461889,0,1.8939653395413,0,0.824230925637689,-1.01346780557585,2.76034421802,0.464497294622799,0.527489445014204
"RNA1029","lncrna-exon1-negative-control",-0.770846582258966,-1.45015513287468,0.995676835417831,0.0493529824007262,0.649509620236721,0.00406014001189824,0.0567507859025218,-0.211982810121216,-0.274011871037367,50.4181842708755,2.18441367440034,-0.650460990404333,-0.644120729373269,-0.569392849549783,-0.492722316114279,-0.588817070202062,0.0118331712188875,-0.892760978723663,0,-0.249250113556159,0,-0.823340762235287,0,0,-0.671992423085886,0,1.13220890926268,-0.207638878071573,0.497430959805302,0.837720973753704,0.377757741798784
"RNA1030","lncrna-exon1-negative-control",0.867202405041337,0.910562525293404,-1.70228620248855,-0.032901988267151,-2.09841569614941,2.67969240785284,0.874268863903716,-0.925015898710759,-0.716646431943882,-0.674490759476595,2.66138544791307,-1.32909481351408,-2.36140788612498,-0.530081242919201,-0.456368627441816,-0.629379392115226,0.520659533631056,0.948223083614312,0,0.950775333867595,0,0.136486813238037,1.08720844448995,0,0.166482117677844,0,-0.195074723354218,-0.522963241008019,2.2254738115329,0.423027996941601,-0.202403153147731
"RNA1031","lncrna-exon1-negative-control",0.867202405041337,0.404694455685957,-2.3125397467769,0.246764912003632,-0.824377594915839,-0.870900032552173,-1.07749802963572,-0.925015898710759,-0.716646431943882,59755.6657223796,-0.891030092236977,-1.78648903861368,-1.92794472919569,0.688731110578515,8.63075519464998,0.177886631380859,-0.5265761192405,-0.556410149064247,0.786168924337004,-0.662153906926611,0,-0.108874366090791,0,0,-0.433126556589086,0,-1.23121067201382,-0.522963241008019,0.373999327539055,0.71331308071008,-0.0742676673477689
"RNA1032","lncrna-exon1-negative-control",0.770846582258966,-0.101173613921489,0.44966050631773,0.493529824007265,-0.424679367077857,-0.870900032552173,-0.890373816659838,-0.925015898710759,-0.716646431943882,66794.6512882774,-0.414058318724244,-0.685262724922782,-2.31999420871135,-0.490754381493651,-0.286934471307656,-0.367809278843425,-0.514742948021612,-0.542991897881026,0,-0.75399492035427,0,-0.00810406411136655,0,0,9.74912726369544,0,-0.95136568930394,-1.04850384590211,0.209423817850705,0.962128866797344,-0.0991021990376464
"RNA1033","lncrna-exon1-negative-control",1.92711645564741,1.31525698097936,-1.95923506324154,-0.180960935469331,-0.474641645557605,0.0142104900416439,0.394187891268868,0.173440481008267,-0.484790233373803,-0.674490759476595,7.22773178267762,0.0928046253825284,-0.445335077787863,1.6672194241623,2.83234185139209,-0.271900237310432,-0.319495622909966,NA,0,0.0261206199052129,0,0.0241041533487435,0.780649273252601,0,1.37415737586775,0,-1.34960027997039,-0.430685219303611,2.77193404264594,-0.487544328199367,0.477942812067388
