"","Random number","GC%","Complexity","CpG","GA","GT","TA","T%","C%","G%","PhyloP-mammals","PhyloP-vertebrates","GERP-mammals","GERP-vertebrates","Tissue RPKM","Primary cell RPKM","H3K9ac","H3K79me1","H3K79me2","Chromatin Accessibility","Methylome","Repeat free","Copies","RNAcode","Fickett","Covariance","MFE","Interactions","MaxEnt splicing","SNPs","MAF"
"GERP-mammals",0.00695430134273722,0.0371389559432608,-0.154443735957615,0.0238561355212363,0.100960500337651,-0.0520844275200514,-0.0827101708870912,-0.0485348887900676,0.0134794237215229,0.046876483050815,0.829900320903294,0.876284361528415,1,0.65274608367731,0.179789261861719,0.154177598117091,0.30705019938917,0.24474507942243,0.218150576556614,0.290613413353594,-0.083457234700482,0.285469846210652,-0.616147482420989,0.331256580286729,0.0533664419857187,0.766463377301957,-0.0352674249635429,-0.0228002113795762,0.152828341451864,-0.233943965748792,-0.140035555292235
"GERP-vertebrates",-0.005093307142346,0.0261372180747435,-0.0681695386053332,0.0142322322538375,0.0666739396245186,-0.0301797309009838,-0.0627036260588343,-0.0452795445403232,0.00887156199896634,0.048386862033078,0.636799597789875,0.637875783441443,0.65274608367731,1,0.160642203163937,0.158770002563677,0.239878127423146,0.18986677132373,0.199977274325483,0.213592021705652,-0.0523715037682646,0.187461745545827,-0.467043105593458,0.260184436926295,0.0246783175100995,0.541153145661401,-0.0408094661028184,-0.0262209387837379,0.116547842568596,-0.177944312111791,-0.120459039602808
"Tissue RPKM",0.00578224941024337,0.0713342311800321,-0.0942515060379693,0.0830420347375618,0.0701377455323749,0.00353644588057575,-0.0894242751950722,-0.0928518307636556,0.0537822541934857,0.0818844515422421,0.182474961230497,0.198843228268127,0.179789261861719,0.160642203163937,1,0.597587549258723,0.148827378934295,0.241517980412346,0.285459376266422,0.0345153048066615,0.0369551313042701,0.0888511339506289,-0.0777520802368379,0.360530972259642,0.0604819513919499,0.0998319662667488,0.163310018632321,0.0743713527368186,0.115162468214898,-0.063300071022784,-0.151439827969433
"Primary cell RPKM",0.00194721434354066,0.215202798278816,-0.0773628299645115,0.125428575080547,0.0633170547915276,-0.0210716682278304,-0.1423914765218,-0.152351838234623,0.121879560344618,0.159333020878917,0.173839192801286,0.184531722491038,0.154177598117091,0.158770002563677,0.597587549258723,1,0.260242325635765,0.318528562478784,0.348364130516909,0.134506064836656,0.117537146571337,0.0647762044227441,-0.0561657347365958,0.330901630205953,0.074431048864012,0.065333542836892,0.0630164790736548,0.00530421831449212,0.0962750429537664,-0.0156883415370152,-0.13770294623643
"H3K9ac",-0.000547018165603414,0.394279340362047,-0.0685962082058723,0.202973608767846,0.0405358775559202,-0.0416664968971936,-0.206731824369972,-0.148757189196477,0.157157870211324,0.157717887724417,0.329770335671488,0.327794318668645,0.30705019938917,0.239878127423146,0.148827378934295,0.260242325635765,1,0.390054758101932,0.351919925461027,0.547658266299154,0.0158801392615474,0.283625073113092,-0.254698996415869,0.125451099197495,0.0194966208887668,0.241267851292297,-0.216077330315184,-0.177928790062061,0.0561136026389583,0.059503348504756,-0.056405000621357
"H3K79me1",0.00113857676643976,0.251681140511694,-0.0808631308159511,0.116884029379313,0.0733863693555792,-0.0215837410219899,-0.147574325178997,-0.118238770373766,0.0906088772088809,0.134431182666792,0.271528343263426,0.269657480342108,0.24474507942243,0.18986677132373,0.241517980412346,0.318528562478784,0.390054758101932,1,0.458004965544106,0.243251518140317,0.0840650392451911,0.176576573107733,-0.166323485547554,0.276198222399511,0.0687263250062126,0.192168900716501,-0.144487444009748,-0.113594394525579,0.101211447769123,-0.0283483951174018,-0.0821178080616166
"H3K79me2",0.00255214233675332,0.169508421749951,-0.0641103924525703,0.130218065720219,0.0653095740462214,-0.0184833777726861,-0.109662327372774,-0.10507281071872,0.0721714682850257,0.106548061132389,0.254626910698568,0.250490986556142,0.218150576556614,0.199977274325483,0.285459376266422,0.348364130516909,0.351919925461027,0.458004965544106,1,0.17071444969195,0.0879431130904824,0.130745542469228,-0.117060690128384,0.292802764142022,0.062904940964507,0.158175526438605,-0.0786646223187128,-0.0678093225850828,0.114038127110862,-0.0378648044764049,-0.106618772839659
"Chromatin Accessibility",0.00849109885201431,0.457439283293448,-0.0880257312145021,0.114867856985723,0.0374493692410013,-0.0263068947411487,-0.215902668818255,-0.123579294922274,0.137509247965527,0.129019501841111,0.303014445605906,0.298764135895413,0.290613413353594,0.213592021705652,0.0345153048066615,0.134506064836656,0.547658266299154,0.243251518140317,0.17071444969195,1,0.00475771615187464,0.213079808700155,-0.291644476952629,0.0503232256575061,0.0183242571780344,0.244998463322204,-0.259168809596069,-0.226562220559891,0.0329767485418522,0.0662620088379227,-0.0169923229579176
"Methylome",0.00794497381448662,0.292425919117383,-0.00611613790379985,0.517905639485781,0.0129059176543655,0.0414317087684466,-0.113436698350247,-0.0673805207925108,0.0671329830196025,0.0858380450913397,-0.0412544538802347,-0.0505102978016437,-0.083457234700482,-0.0523715037682646,0.0369551313042701,0.117537146571337,0.0158801392615474,0.0840650392451911,0.0879431130904824,0.00475771615187464,1,-0.108525931755497,0.235941399861711,0.160415067174733,0.120616067126601,-0.112097216012493,-0.300889610150551,-0.194810845867817,0.0587847050798368,0.160699534841596,0.0568803864988105
"Repeat free",0.00197663358307838,0.139847699480659,-0.0494227597904885,0.0851675247606863,0.0309138579385914,-0.0423654392677121,-0.106825977653824,-0.0586083238977946,0.0546161842784408,0.044346806840057,0.227575385342868,0.277082104290449,0.285469846210652,0.187461745545827,0.0888511339506289,0.0647762044227441,0.283625073113092,0.176576573107733,0.130745542469228,0.213079808700155,-0.108525931755497,1,-0.213108326318367,0.0664467604911654,-0.0175777140463203,0.197005296275771,-0.0511820617581355,-0.0524055603433853,0.0329921051001247,0.0541461091404909,-0.0298776441707656
