"","Random number","GC%","Complexity","CpG","GA","GT","TA","T%","C%","G%","PhyloP-mammals","PhyloP-vertebrates","GERP-mammals","GERP-vertebrates","Tissue RPKM","Primary cell RPKM","H3K9ac","H3K79me1","H3K79me2","Chromatin Accessibility","Methylome","Repeat free","Copies","RNAcode","Fickett","Covariance","MFE","Interactions","MaxEnt splicing","SNPs","MAF"
"Methylome",0.00243203742190939,0.282939184502984,-0.0129569691366191,0.542195891932141,0.0290138250316846,0.026820264349705,-0.107900332107225,-0.16384692738704,0.220233166747854,0.217582861121197,-0.11265301410545,-0.105727432957713,-0.12805171561734,-0.111712866629607,0.0140565791912772,0.0838462950440629,0.0398017564865537,0.0674660518777303,0.0547125529157505,0.0355537928410038,1,-0.053013471781858,0.208537140939872,0.00903779770994078,0.090825661822834,-0.136105376510663,-0.248792698006249,-0.185676461214136,0.00826700838655848,0.192105665589949,0.115028268536217
"Repeat free",-0.00889958458689459,0.18246216663092,-0.00155150055377793,0.16520155117534,0.064919151558081,-0.0990000692668703,-0.0847323359741564,-0.150687137821164,0.130443936413013,0.152319557302493,0.313479786741934,0.36997880163427,0.386376100720784,0.302952977657013,0.141640353833674,0.0969859929544539,0.137130504165159,0.0770545658924625,0.193070589630343,0.23835435965995,-0.053013471781858,1,-0.235334204929586,0.0235327921780993,-0.064045064620223,0.247526725702024,-0.123275295320799,-0.0456196242151614,0.00221633420301153,0.131178291589085,-0.0308730736607614
"Copies",0.00135096911639488,0.00736011555064065,0.0609712029074295,0.0324394553901057,-0.0454506421566253,0.0610871064119551,0.0183942602622671,0.00703703206394827,0.00924396141514364,0.00760036156070472,-0.601160639371952,-0.641057163282406,-0.614439217601213,-0.494920706760198,0.000143996591325413,0.00512492491258478,-0.132705282310166,-0.0519919034487667,-0.151786680289738,-0.297272902077505,0.208537140939872,-0.235334204929586,1,-0.0134800745949847,0.0876324214358829,-0.601654000710666,-0.0355241214852144,-0.0249310355125838,-0.0724237886685973,0.148104489587692,0.0896428627750403
"RNAcode",0.00593166052549113,0.0266349100098088,0.0250036194497723,0.0370017500806392,0.0071469207238148,-0.00260161965539709,-0.02013199623625,-0.028990005006723,0.0274960313225398,0.0200161438350566,0.0187589965361385,0.0135898260376447,0.0191862755109444,0.0378901397286391,0.0146708668092903,0.00740732086562374,0.0246343364607138,-0.000845699369226788,0.0297578411842872,0.0182655919969566,0.00903779770994078,0.0235327921780993,-0.0134800745949847,1,-0.0125008069384135,-0.00673017154235767,-0.0293821993507331,0.000617243247317797,-0.0146136872840625,0.0317170063204042,0.0202414175063113
"Fickett",0.00277868328079732,0.0240589391781708,-0.146010466424859,-0.117223916547488,0.0380032597962051,0.0604613910741338,0.006956181540897,-0.0396670797340798,0.0777210150362009,-0.022636502660459,-0.0713767487251725,-0.0489354255700637,-0.048712105725741,-0.0584768124052355,-0.0120325598383663,0.0183587829917651,-0.0422882524515106,0.0377202801858794,-0.0313239126372844,-0.0129335425572457,0.090825661822834,-0.064045064620223,0.0876324214358829,-0.0125008069384135,1,-0.0131685549048598,-0.0302832109611571,0.0186593710985104,0.0628621303013192,-0.111096491649615,-0.027078606335996
"Covariance",0.000393488327256772,0.0685050872182799,-0.135835519618249,0.00313422526711859,0.0423044796484948,-0.0144378270381892,-0.0173876060959549,-0.0225282388357391,0.0442725781547688,0.0680533537688484,0.78030311278852,0.713465995202488,0.736214404471722,0.529918069710796,0.0612842652655417,0.0728649044142419,0.14046632528498,0.0987758009560613,0.181386194101272,0.299020478472006,-0.136105376510663,0.247526725702024,-0.601654000710666,-0.00673017154235767,-0.0131685549048598,1,-0.114564398407805,0.0035051358616737,0.0996243397565902,-0.108154493982996,-0.0954928788059822
"MFE",-0.00165567907357598,-0.671113167956465,0.08848952166519,-0.154711031746083,-0.0201637857576276,0.0308000851631788,0.234390377084971,0.423754281595385,-0.399810166607687,-0.673184643270677,-0.216640482522793,-0.192981590804638,-0.153239891712206,-0.174904319659361,-0.0563208132950726,-0.138892884673991,-0.222916587209702,-0.115398278363659,-0.207669418117514,-0.360292605113655,-0.248792698006249,-0.123275295320799,-0.0355241214852144,-0.0293821993507331,-0.0302832109611571,-0.114564398407805,1,0.135482811907733,-0.0564114593452567,-0.201909354007613,-0.0448324937300169
"Interactions",-0.00106422524967799,-0.448772858309288,-0.0059220553593429,-0.1230717090587,-0.00871885134087426,0.156450121429095,0.161581097788501,0.340490759752533,-0.36523572191033,-0.287263372692397,-0.0358415360566523,-0.0226262126809032,0.00678178643564211,-0.032120154941209,0.109662681340919,0.0615177438978034,-0.108895886656469,0.0149902055804138,-0.0391108593057764,-0.226935710367681,-0.185676461214136,-0.0456196242151614,-0.0249310355125838,0.000617243247317797,0.0186593710985104,0.0035051358616737,0.135482811907733,1,0.0177888981760482,-0.147820676505548,-0.0600575137567683
"MaxEnt splicing",0.00103156428485402,-0.0247713252482128,-0.0984809003609177,-0.125317486790404,0.00282464010221857,0.116630154857822,0.044697821281008,0.0555681704147491,-0.0178604609005708,-0.0157564184175008,0.0651138752111851,0.0418882421763775,0.0494945841047713,0.0610871552670861,0.00552185392545036,0.00148057126764343,-0.00369214393763698,0.0581772995344581,0.00546855570914847,0.0240592447218703,0.00826700838655848,0.00221633420301153,-0.0724237886685973,-0.0146136872840625,0.0628621303013192,0.0996243397565902,-0.0564114593452567,0.0177888981760482,1,-0.0896823857936729,0.0169427635878151
"SNPs",-0.00327447777261935,0.330552105675028,0.314641188636591,0.436318287963334,-0.00586200674383221,-0.0678399979734491,-0.129745719107708,-0.270560236528792,0.243097125258408,0.256684921017843,-0.00109568532464646,-0.0119807336572897,-0.0284576678212947,0.0191697903494428,0.139941167963742,0.142335518150024,0.161930986952306,0.00236875701158062,0.0986000741865256,0.168522862155238,0.192105665589949,0.131178291589085,0.148104489587692,0.0317170063204042,-0.111096491649615,-0.108154493982996,-0.201909354007613,-0.147820676505548,-0.0896823857936729,1,0.303082697273953
"MAF",0.00506230447333004,0.0352971867053504,0.187664789593153,0.105135889855617,-0.00997807045036292,-0.00474324066469394,-0.0410964647247396,-0.044408463919302,0.0166920849272291,0.0224614569106082,-0.102322266922975,-0.0987286595130302,-0.106746529063537,-0.100521439366537,-0.0644459979527783,-0.0751909810030926,-0.0416915394869825,-0.0240363932126288,-0.0477554594065982,-0.0285303424293874,0.115028268536217,-0.0308730736607614,0.0896428627750403,0.0202414175063113,-0.027078606335996,-0.0954928788059822,-0.0448324937300169,-0.0600575137567683,0.0169427635878151,0.303082697273953,1
