"","Random number","GC%","Complexity","CpG","GA","GT","TA","T%","C%","G%","PhyloP-mammals","PhyloP-vertebrates","GERP-mammals","GERP-vertebrates","Tissue RPKM","Primary cell RPKM","H3K9ac","H3K79me1","H3K79me2","Chromatin Accessibility","Methylome","Repeat free","Copies","RNAcode","Fickett","Covariance","MFE","Interactions","MaxEnt splicing","SNPs","MAF"
"GERP-vertebrates",-0.00308865361526216,0.0379089912907368,0.00540071121799035,0.00757777534877994,0.0131344366763376,-0.0368790898761306,-0.026554912902196,-0.0402385732635962,0.0343944301005292,0.0635217997691767,0.543849835090226,0.561768438323865,0.564449469662285,1,-0.0224583329400906,0.0129172087525738,0.239107100339362,0.124881312187636,0.115445433727211,0.229107146475885,-0.034863176253696,0.123190007447396,-0.289410996291643,0.0268811154529779,-0.0473522132770351,0.476425663829672,-0.143607312468662,-0.109813398297859,0.0635786658821179,-0.109430760602077,-0.0480063093560001
"Tissue RPKM",0.0044594358828287,0.000560497627008243,-0.147298312230126,0.0285767707305646,0.0186993316754652,-0.0080405842506079,-0.00998572645408398,-0.0405459838310895,0.0183593509823948,0.027830179363264,-0.0626740163386744,-0.0462455210489489,-0.0168500055055537,-0.0224583329400906,1,0.537843754747284,0.0596310864870496,0.126879029513463,0.131610087487543,-0.0100762849256503,-0.129267613924453,0.0895303117624684,-0.111551341131875,-0.00462924420158886,0.0959606468647582,-0.0253878324981532,0.348283851323577,0.269637929592218,-0.0359589867262531,-0.0259661348399183,-0.150207756813468
"Primary cell RPKM",0.00382855107771251,0.204244073078914,-0.126679072464935,0.0782424220656464,0.0178706274213148,-0.0232356904448637,-0.110801987269486,-0.130700437403403,0.12619869233095,0.134931256500476,-0.0156888615159422,-0.0121068619426813,0.000766126178060503,0.0129172087525738,0.537843754747284,1,0.217215733577411,0.235640104814433,0.231624471094162,0.147505400921397,-0.0108254689166528,0.0503934143651383,-0.0883936760944544,-0.00157036972052492,0.0856687102178976,-0.0229585849043112,0.254744063100263,0.174713068716118,-0.0167569450889857,0.0021143714466269,-0.134234971015272
"H3K9ac",-0.00796632016143716,0.38031341160065,-0.0332232344000289,0.187874910931318,0.0455774694728239,-0.0639063032820237,-0.213395375771725,-0.178445212886207,0.18190532312175,0.197024407167145,0.310686877755382,0.325685618732806,0.272528115869452,0.239107100339362,0.0596310864870496,0.217215733577411,1,0.398242678936587,0.367662738180645,0.542282497792074,-0.0222964971966496,0.226462093435706,-0.193108334010702,0.0279975463067525,-0.0134702989295088,0.226449437133315,-0.198847889982512,-0.201243786625358,0.10106519866648,0.0504245889873736,-0.0235936183100291
"H3K79me1",-0.0153308252380128,0.257217872827975,-0.0342168501738355,0.132514213389662,0.0373761616857619,-0.030059539182048,-0.1269959706366,-0.138296532920393,0.136890949297109,0.157678317011858,0.184317857078585,0.18544176158151,0.13857074743504,0.124881312187636,0.126879029513463,0.235640104814433,0.398242678936587,1,0.394742571008861,0.282117238442604,-0.00340132359159737,0.151767461245166,-0.0934202554755605,0.0270474299640807,-0.0129985145289997,0.122975576775889,-0.14867396341028,-0.144949672635946,0.0784696663626605,0.059864941014751,-0.0126526551292815
"H3K79me2",-0.00726053992174108,0.189710536625285,0.0103193651114417,0.130620936556245,0.0229722446397478,-0.0337205363877179,-0.0904671564749226,-0.12399936312951,0.120307699954614,0.135807829304285,0.151264424807701,0.149292127730793,0.10553208035553,0.115445433727211,0.131610087487543,0.231624471094162,0.367662738180645,0.394742571008861,1,0.206125559094257,0.0316922559835265,0.103483975091096,-0.0432486320766365,0.0244896156415785,-0.0121691164937136,0.084400253483409,-0.116064990471845,-0.120310543088848,0.0715609402809811,0.0503028085002168,-0.000995759906886032
"Chromatin Accessibility",-0.00957056397383281,0.461219526383319,-0.0982178164680682,0.0822253015964536,0.0549967827988748,-0.0346893248562107,-0.25359978129841,-0.160063393520578,0.181333459258409,0.175124322105923,0.324691197131634,0.325489170894552,0.286263305226214,0.229107146475885,-0.0100762849256503,0.147505400921397,0.542282497792074,0.282117238442604,0.206125559094257,1,0.00434608029240669,0.137234523251856,-0.24346324392674,0.0207603194069679,0.0374527377876999,0.259680369586242,-0.229842605391223,-0.238645192584879,0.0884801056178129,0.00416566863914967,-0.0108998373425462
"Methylome",-0.00367425759861225,0.251483490381443,0.084336459391261,0.409284430808687,-0.0153663741191427,0.0456023568927504,-0.0872089561914685,-0.0466679785554852,0.0726854147151442,0.0767377370028535,-0.0601649461224382,-0.0997812132993216,-0.123820580470062,-0.034863176253696,-0.129267613924453,-0.0108254689166528,-0.0222964971966496,-0.00340132359159737,0.0316922559835265,0.00434608029240669,1,-0.135381282228359,0.302538371710261,0.00826707702577363,0.0289829219883071,-0.152467146237125,-0.322050010496683,-0.260708140317362,0.0506310619876606,0.156331010205807,0.117192402379444
"Repeat free",-0.00895347210081806,0.0825075740549906,-0.0532927953938927,0.0817086999827506,0.0379003126569369,-0.0508652307701628,-0.0855654483898165,-0.0341551173984313,0.0203038600803504,0.0330184481958572,0.172213349152009,0.2440226661715,0.221702078091207,0.123190007447396,0.0895303117624684,0.0503934143651383,0.226462093435706,0.151767461245166,0.103483975091096,0.137234523251856,-0.135381282228359,1,-0.170948084002097,0.00331575739160121,-0.00735818753152487,0.150096376771477,-0.0159663200177054,-0.0130243873107723,0.0343665365737776,0.0540441296479141,-0.0221070949527383
"Copies",0.000915733226993704,0.0655803061395547,0.293395028466068,0.124318577584087,-0.081033365624319,0.0389389809554981,0.0150817529809974,0.01938059559883,-0.00381258218092728,0.00229210332307405,-0.412491110044724,-0.487599850471325,-0.497386301614831,-0.289410996291643,-0.111551341131875,-0.0883936760944544,-0.193108334010702,-0.0934202554755605,-0.0432486320766365,-0.24346324392674,0.302538371710261,-0.170948084002097,1,0.0224162145536337,-0.0519231162289568,-0.589700564438105,-0.271585851351172,-0.20146366842528,0.00198039603911273,0.282119522774706,0.175795369755633
"RNAcode",-0.00365467934317874,0.0114488393747128,0.0441728760327685,0.0434777577829316,0.0133704643119475,-0.0125733362680789,-0.017393128065066,-0.0194736684747775,0.0340900425620531,0.0207655987481809,0.051683958239753,0.0470361280691606,0.0291654773532521,0.0268811154529779,-0.00462924420158886,-0.00157036972052492,0.0279975463067525,0.0270474299640807,0.0244896156415785,0.0207603194069679,0.00826707702577363,0.00331575739160121,0.0224162145536337,1,-0.0193584274518675,0.0138725519933417,-0.0618136224440064,-0.0522896348429634,0.0251495132458791,0.032869164588741,0.025229673512525
"Fickett",0.0067095385758202,0.0830737464566036,-0.186840304011932,-0.0851353183624936,0.0247227873681014,0.0128147123298229,-0.0306622254144984,0.00184181037464949,0.0196435648534191,-0.0131647085598343,-0.0581369235313263,-0.0532886573374111,-0.0192400453880305,-0.0473522132770351,0.0959606468647582,0.0856687102178976,-0.0134702989295088,-0.0129985145289997,-0.0121691164937136,0.0374527377876999,0.0289829219883071,-0.00735818753152487,-0.0519231162289568,-0.0193584274518675,1,-0.00639220947366551,0.163409657045944,0.144451695516591,-0.0344452893004354,-0.0813069887979914,-0.0861773542446273
"Covariance",-0.00308390359533542,-0.0532272668543937,-0.162695490683421,-0.0970296393963195,0.0583833430418664,-0.0314188553456889,0.00416157470923196,-0.0117275160474511,0.0107398943537522,0.00554816787453077,0.737074185219394,0.727190553153198,0.75329532915512,0.476425663829672,-0.0253878324981532,-0.0229585849043112,0.226449437133315,0.122975576775889,0.084400253483409,0.259680369586242,-0.152467146237125,0.150096376771477,-0.589700564438105,0.0138725519933417,-0.00639220947366551,1,-0.0799524980934971,-0.0490001898377757,0.0842581838427297,-0.265510459888756,-0.0769218985372764
"MFE",0.00199140267791938,-0.361968132876983,-0.225438439045929,-0.106029366718881,-0.0312887081690407,0.0104798227203068,0.164309473527438,0.104594743199444,-0.143703613649941,-0.147479465764531,-0.239270575776718,-0.172840671283238,-0.0900504132430364,-0.143607312468662,0.348283851323577,0.254744063100263,-0.198847889982512,-0.14867396341028,-0.116064990471845,-0.229842605391223,-0.322050010496683,-0.0159663200177054,-0.271585851351172,-0.0618136224440064,0.163409657045944,-0.0799524980934971,1,0.687768767710393,-0.225285587863816,-0.154626664116162,-0.277884955600112
"Interactions",-0.00073543127405491,-0.412479404842562,-0.171285973268718,-0.088717158846482,-0.0575878483710401,0.0853505919154297,0.194979966892396,0.111138726766482,-0.150971995475823,-0.136547279629359,-0.182148176847961,-0.136704583474287,-0.0610058422365044,-0.109813398297859,0.269637929592218,0.174713068716118,-0.201243786625358,-0.144949672635946,-0.120310543088848,-0.238645192584879,-0.260708140317362,-0.0130243873107723,-0.20146366842528,-0.0522896348429634,0.144451695516591,-0.0490001898377757,0.687768767710393,1,-0.192148617885928,-0.153251472932714,-0.212697846154394
"MaxEnt splicing",-0.00219741485103286,0.0825792597612496,0.0285496935527646,0.0322230800937355,0.0456953280180372,-0.019593119159246,-0.0658171267181415,-0.0518390943125307,0.0968775437465664,0.0781402246682328,0.114063736579046,0.10282112187812,0.0885174788652661,0.0635786658821179,-0.0359589867262531,-0.0167569450889857,0.10106519866648,0.0784696663626605,0.0715609402809811,0.0884801056178129,0.0506310619876606,0.0343665365737776,0.00198039603911273,0.0251495132458791,-0.0344452893004354,0.0842581838427297,-0.225285587863816,-0.192148617885928,1,0.00667464996974525,0.0537577087113794
"SNPs",-0.00261998027395299,0.252058677989469,0.333278293338613,0.341356576859484,-0.0256693729382751,-0.0207219327928412,-0.16396447387166,-0.0718917636053527,0.0709590152216092,0.0836952457980454,-0.152646975438493,-0.150763448757841,-0.199191082971249,-0.109430760602077,-0.0259661348399183,0.0021143714466269,0.0504245889873736,0.059864941014751,0.0503028085002168,0.00416566863914967,0.156331010205807,0.0540441296479141,0.282119522774706,0.032869164588741,-0.0813069887979914,-0.265510459888756,-0.154626664116162,-0.153251472932714,0.00667464996974525,1,0.270050719447696
"MAF",0.00254161806715547,0.0356914604818287,0.210508944927866,0.0955006555090717,-0.00253806502886589,0.00441235763317307,-0.0269257620766069,-0.0123692281566951,0.0233532742665011,0.00705635642662336,-0.0107932698649101,-0.0439525072756814,-0.0703503520638923,-0.0480063093560001,-0.150207756813468,-0.134234971015272,-0.0235936183100291,-0.0126526551292815,-0.000995759906886032,-0.0108998373425462,0.117192402379444,-0.0221070949527383,0.175795369755633,0.025229673512525,-0.0861773542446273,-0.0769218985372764,-0.277884955600112,-0.212697846154394,0.0537577087113794,0.270050719447696,1
